index,event_starttime,event_peaktime,event_endtime,goes_class_ind,goes_class,goes_class_val,integrated_flux,noaa_ar,position_hgs,hgs_lat,hgs_lon,hpc_x,hpc_y,event_end,peak_hour,unique_day
0,5,2012-08-30 12:02:00,2012-08-30 12:11:00,2012-08-30 12:14:00,M,M1.3,1.3e-05,3.9E-03,11563,,,,,,2012-08-30 12:14:00,12,2012-08-30
1,19,2012-09-02 10:15:00,2012-09-02 10:21:00,2012-09-02 10:26:00,C,C3.1,3.1e-06,1.5E-03,11553,,,,,,2012-09-02 10:26:00,10,2012-09-02
2,21,2012-09-02 18:00:00,2012-09-02 18:10:00,2012-09-02 18:15:00,C,C5.5,5.5e-06,2.7E-03,11560,,,,,,2012-09-02 18:15:00,18,2012-09-02
3,23,2012-09-03 10:29:00,2012-09-03 10:46:00,2012-09-03 10:59:00,C,C2.6,2.6e-06,3.7E-03,11564,,,,,,2012-09-03 10:59:00,10,2012-09-03
4,24,2012-09-03 13:06:00,2012-09-03 13:18:00,2012-09-03 13:31:00,C,C2.7,2.7e-06,3.2E-03,11564,,,,,,2012-09-03 13:31:00,13,2012-09-03
5,34,2012-09-06 15:13:00,2012-09-06 15:21:00,2012-09-06 15:30:00,C,C8.0,8e-06,4.9E-03,11560,,,,,,2012-09-06 15:30:00,15,2012-09-06
6,40,2012-09-08 17:35:00,2012-09-08 17:59:00,2012-09-08 18:20:00,M,M1.4,1.4e-05,2.8E-02,11564,,,,,,2012-09-08 18:20:00,17,2012-09-08
7,80,2012-09-30 14:21:00,2012-09-30 14:26:00,2012-09-30 14:33:00,C,C2.3,2.3e-06,1.1E-03,11575,N11W88,11.0,88.0,940.1106849533122,177.74601143960857,2012-09-30 14:33:00,14,2012-09-30
8,91,2012-10-08 11:05:00,2012-10-08 11:17:00,2012-10-08 11:23:00,M,M2.3,2.3e-05,1.1E-02,     ,N17E88,17.0,-88.0,-917.9388317617122,275.5997845279877,2012-10-08 11:23:00,11,2012-10-08
9,92,2012-10-08 13:52:00,2012-10-08 13:55:00,2012-10-08 14:29:00,C,C1.0,1e-06,2.0E-03,     ,S29E86,-29.0,-86.0,-837.7993381863926,-469.14800885407,2012-10-08 14:29:00,13,2012-10-08
10,95,2012-10-09 14:48:00,2012-10-09 15:01:00,2012-10-09 15:11:00,C,C1.9,1.9e-06,2.1E-03,     ,N14E88,14.0,-88.0,-931.6477657770738,227.52730089545943,2012-10-09 15:11:00,15,2012-10-09
11,96,2012-10-09 15:17:00,2012-10-09 15:25:00,2012-10-09 15:33:00,C,C5.9,5.9e-06,3.7E-03,     ,S29E86,-29.0,-86.0,-838.0511640370823,-469.2802698901919,2012-10-09 15:33:00,15,2012-10-09
12,130,2012-10-23 13:10:00,2012-10-23 13:15:00,2012-10-23 13:18:00,C,C2.3,2.3e-06,6.5E-04,11598,S14E53,-14.0,-53.0,-749.2089712021407,-283.6869485254907,2012-10-23 13:18:00,13,2012-10-23
13,131,2012-10-23 14:57:00,2012-10-23 15:00:00,2012-10-23 15:05:00,C,C2.8,2.8e-06,8.1E-04,11598,S14E52,-14.0,-52.0,-739.3038836729247,-284.8144781320124,2012-10-23 15:05:00,15,2012-10-23
14,162,2012-11-14 13:35:00,2012-11-14 13:45:00,2012-11-14 14:01:00,C,C4.3,4.3e-06,5.0E-03,11614,N18E40,18.0,-40.0,-594.8558715167455,264.859964613318,2012-11-14 14:01:00,13,2012-11-14
15,176,2012-11-20 12:36:00,2012-11-20 12:41:00,2012-11-20 12:46:00,M,M1.7,1.7e-05,6.3E-03,     ,N06E20,6.0,-20.0,-331.72124570561573,67.60135329478369,2012-11-20 12:46:00,12,2012-11-20
16,178,2012-11-20 15:18:00,2012-11-20 15:29:00,2012-11-20 15:41:00,C,C3.1,3.1e-06,3.3E-03,11618,N05E19,5.0,-19.0,-316.31335110007785,50.62360395659335,2012-11-20 15:41:00,15,2012-11-20
17,182,2012-11-21 15:10:00,2012-11-21 15:30:00,2012-11-21 15:38:00,M,M3.5,3.5000000000000004e-05,2.6E-02,11618,N05E05,5.0,-5.0,-84.71604812541045,50.8645616931263,2012-11-21 15:38:00,15,2012-11-21
